price,color,likes,brand,material type,Percentage discount,Rate,Fit,Saling fast,in sale,category,sex
Now 194.18 ILS,GREEN,1K,,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-19%),4.0,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 272.90 ILS,,,,,,,,,1,Hoodies & Sweatshirts,Women
Now 194.18 ILS,OFF WHITE,697,Puma,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-19%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 165.32 ILS,BLACK,926,Puma,"Soft jersey
Uses PUMA dryCELL technology
Wicks sweat away from the skin, drawing it out of the fabric to help speed up evaporation

Main: 94% Polyester, 6% Elastane.",(-14%),,True to size,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
Now 167.94 ILS,Grey,2K,ASOS 4505,,(-19%),4.5,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 188.93 ILS,mushrroom,647,Topshop,"Sweatshirt fabric: soft and warm

Main: 56% Cotton, 44% Polyester.",(-19%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 178.44 ILS,Blue and White,306,ASOS DESIGN,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-24%),4.0,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 187.36 ILS,MID BLUE,515,Fila,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-29%),,Regular fit,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
Now 76.10 ILS,,,,,,3.8,,,1,Hoodies & Sweatshirts,Women
Now 204.68 ILS,Grey Marl,,Tommy Hilfiger,"Sweatshirt fabric: soft and warm

Main: 75% Cotton, 25% Lyocell.",(-39%),3.2,Regular fit,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 70.85 ILS,DARK BLUE,282,PUMA,"Sweatshirt fabric
Soft hand feel

Main: 88% Cotton, 12% Polyester.",(-69%),4.0,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 176.34 ILS,,,,,,3.3,,,1,Hoodies & Sweatshirts,Women
Now 73.47 ILS,Grey,213,PUMA,Main: 100% Cotton.,(-60%),4.3,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 83.97 ILS,GREY,4K,New Look,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester, Rib: 97% Cotton, 3% Elastane.",(-19%),,Boxy fit,,1,Hoodies & Sweatshirts,Women
Now 125.95 ILS,Black,649,Pimkie,"Fluffy knit

Main: 100% Polyester.",(-14%),,Oversized fit,,1,Hoodies & Sweatshirts,Women
Now 275.53 ILS,wonder white,163,adidas Originals,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-29%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 136.45 ILS,WHITE,426,Miss Selfridge,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-18%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 684.88 ILS,CLUBHOUSE CREAM,2K,Polo Ralph Lauren,"Sweatshirt fabric: soft and warm

Main: 84% Cotton, 16% Polyester.",(-24%),,Regular fit,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
Now 115.46 ILS,Pink,829,Monki,"Sweatshirt fabric: soft and warm

Main: 76% Polyester, 22% Viscose, 2% Elastane.",(-18%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 178.44 ILS,ecru,661,Topshop,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-14%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 188.93 ILS,tan,1K,Topshop,"Borg: sheepskin-like fabric with a bumpy texture

Main: 100% Polyester.",(-14%),3.8,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 92.37 ILS,Beige and lilac,379,Monki,"Fine knit

Main: 100% Cotton.",(-44%),,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 257.16 ILS,IVORY,2K,Nike,"Sweatshirt fabric: soft and warm

Main: 80% Cotton, 20% Polyester.",(-24%),4.1,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 139.60 ILS,Turquoise,1K,,,(-30%),4.0,Unisex style,,1,Hoodies & Sweatshirts,Women
Now 280.77 ILS,greenstone,,AllSaints,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-39%),,Regular fit,SELLING FAST,1,Hoodies & Sweatshirts,Women
Now 160.07 ILS,PURPLE,161,adidas,"Sweatshirt fabric: soft and warm

Main: 100% Cotton.",(-32%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 107.59 ILS,Black,1K,ASOS Tall,,(-24%),3.5,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 81.35 ILS,Rust,687,,"Sweatshirt fabric
Soft hand feel

Main: 60% Cotton, 40% Polyester.",(-18%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 220.42 ILS,Blue,279,The North Face,"Cosy borg
Sheepskin-like fabric with a bumpy texture

Main: 100% Polyester.",(-30%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
Now 94.47 ILS,Green,170,Urban Revivo,"Sweatshirt fabric
Soft hand feel

Main: 100% Cotton.",(-54%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
,,,,,0,,,,0,Hoodies & Sweatshirts,Women
Now 137.76 ILS,BLACK,114,Protest,"Soft, cosy fleece
Lightweight, insulating fabric

Main: 100% Polyester.",(-54%),3.0,Regular fit,,1,Hoodies & Sweatshirts,Women
Now 115.46 ILS,Black,59,RVCA,"Soft knit
Lightweight feel

Main: 100% Cotton.",(-60%),,Relaxed fit,,1,Hoodies & Sweatshirts,Women
